ID,Entrance_LAT,Entrance_LON,Entrance_TIMESTAMP,Exit_LAT,Exit_LON,Exit_TIMESTAMP,Entrance_HWY,Exit_HWY
User12,38.523666,-122.788202,1571954700000,38.544137,-122.806141,1571956680000,Hwy 101,Hwy 101
User12,38.475301,-122.73163999999998,1572034920000,38.35797,-122.713658,1572035520000,Hwy 101,Hwy 101
User12,38.371231,-122.71353,1572038640000,38.541948,-122.804768,1572039360000,Hwy 101,Hwy 101
User12,38.525769,-122.790176,1572116460000,38.365738,-122.712714,1572117780000,Hwy 101,Hwy 101
User12,38.359129,-122.713315,1572123000000,38.14275,-122.46178799999998,1572125700000,Hwy 101,Hwy 37
User12,38.34822800000001,-122.712843,1572467760000,38.530147,-122.79361000000002,1572468540000,Hwy 101,Hwy 101
User12,38.348572,-122.712843,1573334220000,38.511993,-122.776358,1573334880000,Hwy 101,Hwy 101
User12,38.438351,-122.718808,1573406760000,38.155367,-122.416684,1573408680000,Hwy 101,Hwy 37
User12,38.155367,-122.417371,1573446420000,38.532936,-122.796142,1573448820000,Hwy 37,Hwy 101
User12,38.479506,-122.732841,1573602360000,38.547399,-122.808973,1573606380000,Hwy 101,Hwy 101
User13,38.342392,-122.713057,1572123480000,38.195579,-122.599847,1572126060000,Hwy 101,Hwy 101
User14,38.4744,-122.731254,1571330280000,38.532164,-122.795326,1571332680000,Hwy 101,Hwy 101
User14,38.623273,-122.878282,1571534460000,38.775322,-123.00162,1571535180000,Hwy 101,Hwy 101
User14,38.764936,-122.990934,1571544840000,38.62293,-122.87841,1571545560000,Hwy 101,Hwy 101
User14,38.546583,-122.807343,1571769600000,38.482854,-122.737777,1571771040000,Hwy 101,Hwy 101
User15,38.190815,-122.601134,1572023160000,38.34634000000001,-122.712886,1572023880000,Hwy 101,Hwy 101
User15,38.12657100000001,-122.48861,1573177860000,38.263728,-122.659242,1573181280000,Hwy 37,Hwy 101
User16,38.470666,-122.729365,1571264520000,38.433201,-122.700955,1571266560000,Hwy 101,Hwy 12
User16,38.449037,-122.72546,1571870040000,38.657691,-122.795326,1571871660000,Hwy 101,Hwy 128
User16,38.658163,-122.796142,1571873340000,38.444488,-122.723186,1571875080000,Hwy 128,Hwy 101
User16,38.468906,-122.729022,1571962080000,38.432428,-122.731726,1571962860000,Hwy 101,Hwy 12
User16,38.411571,-122.71619,1572383340000,38.186094,-122.601821,1572384300000,Hwy 101,Hwy 101
User16,38.186824,-122.601735,1572471000000,38.27171,-122.66937,1572472260000,Hwy 101,Hwy 101
User16,38.27171,-122.66937,1572472320000,38.401057,-122.716019,1572473040000,Hwy 101,Hwy 101
User16,38.445818,-122.72413,1572907620000,38.185451,-122.601692,1572908760000,Hwy 101,Hwy 101
User16,38.185408,-122.601521,1572916440000,38.465945,-122.727305,1572918540000,Hwy 101,Hwy 101
User17,38.433115,-122.704517,1571427540000,38.362262,-122.777903,1571428440000,Hwy 12,Hwy 116
User17,38.315312,-122.48268799999998,1571542020000,38.42058400000001,-122.552597,1571544240000,Hwy 12,Hwy 12
User17,38.428995,-122.753269,1571781840000,38.492209,-122.750608,1571784180000,Hwy 12,Hwy 101
User17,38.476331,-122.94973600000002,1573163280000,38.375136,-123.077967,1573166580000,Hwy 116,Hwy 1
User17,38.374793,-123.078052,1573435500000,38.428823,-122.752883,1573441800000,Hwy 1,Hwy 12
User17,38.41285900000001,-122.545001,1573590720000,38.408696,-122.716448,1573593240000,Hwy 12,Hwy 101
User18,38.41921,-122.715847,1572188220000,38.325011,-122.712886,1572189840000,Hwy 101,Hwy 101
User18,38.357756,-122.713658,1572457680000,38.258192,-122.649414,1572458340000,Hwy 101,Hwy 101
User18,38.24815,-122.631218,1572463560000,38.432214,-122.734858,1572466740000,Hwy 101,Hwy 12
User19,38.359515,-122.713358,1571773620000,38.306987,-122.477881,1571778300000,Hwy 101,Hwy 12
User20,38.269007,-122.666366,1571917380000,38.219482,-122.60607,1571934060000,Hwy 101,Hwy 101
User20,38.281667,-122.682673,1572009360000,38.506543,-122.76992,1572018780000,Hwy 101,Hwy 101
User20,38.438479,-122.719151,1572039480000,38.272483,-122.671258,1572041880000,Hwy 101,Hwy 101
User20,38.469336,-122.729108,1573653180000,38.327243,-122.712843,1573660800000,Hwy 101,Hwy 101
User20,38.508818,-122.772581,1573687920000,38.344624,-122.712628,1573689540000,Hwy 101,Hwy 101
User21,38.458993,-122.674906,1572291060000,38.441183,-122.720525,1572293940000,Hwy 12,Hwy 101
User21,38.45586,-122.679154,1572383760000,38.463714,-122.726447,1572386700000,Hwy 12,Hwy 101
User21,38.454787,-122.681128,1572466620000,38.363463,-122.713229,1572469800000,Hwy 12,Hwy 101
User22,38.497059,-122.758119,1572016440000,38.43281500000001,-122.701728,1572020280000,Hwy 101,Hwy 12
User22,38.466632,-122.72782,1572918000000,38.432085,-122.70559,1572919020000,Hwy 101,Hwy 12
User22,38.600442,-122.862875,1573061520000,38.458993,-122.674863,1573084680000,Hwy 101,Hwy 12
User23,38.432343,-122.732412,1571612640000,38.406078,-122.837555,1571617680000,Hwy 12,Hwy 116
User23,38.426034,-122.848327,1573502760000,38.366897,-122.712585,1573503660000,Hwy 116,Hwy 101
User23,38.373849,-122.715461,1573505100000,38.429381,-122.752368,1573507560000,Hwy 101,Hwy 12
User23,38.470709,-122.886435,1573595700000,38.437535,-122.718079,1573596900000,Hwy 116,Hwy 101
User24,38.434746,-122.694046,1571696100000,38.187038,-122.601907,1571697240000,Hwy 12,Hwy 101
User24,38.186352,-122.601692,1571706420000,38.425948,-122.714903,1571707680000,Hwy 101,Hwy 101
User24,38.433587,-122.700054,1572302640000,38.197982,-122.599332,1572303720000,Hwy 12,Hwy 101
User24,38.20205900000001,-122.598388,1572304140000,38.433029,-122.702071,1572310680000,Hwy 101,Hwy 12
User24,38.440024,-122.719881,1572373980000,38.433372,-122.70044,1572376380000,Hwy 101,Hwy 12
User24,38.47264000000001,-122.730824,1573342500000,38.435175,-122.688167,1573343100000,Hwy 101,Hwy 12
User24,38.433072,-122.702028,1573387500000,38.363335,-122.713229,1573388160000,Hwy 12,Hwy 101
User24,38.363206,-122.713272,1573388520000,38.228023,-122.615425,1573390140000,Hwy 101,Hwy 101
User25,38.456203,-122.678725,1572035040000,38.471825,-122.729794,1572035640000,Hwy 12,Hwy 101
User25,38.433458,-122.70091200000002,1572481320000,38.552033,-122.812922,1572481980000,Hwy 12,Hwy 101
User25,38.550531,-122.811291,1572484800000,38.435261,-122.687523,1572485580000,Hwy 101,Hwy 12
